City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,coronel suarez,-37.4547,-61.9334,15.64,39,99,5.19,AR,1722877383
287,inonu,37.3167,33.7667,26.08,35,32,9.01,TR,1722877384
288,tambopata,-12.7333,-69.1833,33.94,52,20,2.57,PE,1722877385
289,kulhudhuffushi,6.6221,73.07,27.98,76,100,3.14,MV,1722877386
290,buritizeiro,-17.3511,-44.9622,30.77,26,0,3.39,BR,1722877387
291,pul-e khumri,35.9446,68.7151,30.27,17,0,0.76,AF,1722877389
292,del rio,29.3627,-100.8968,32.85,54,0,3.58,US,1722877273
293,kalmunai,7.4167,81.8167,28.03,79,73,4.3,LK,1722877391
294,cold lake,54.4502,-110.2017,15.97,88,100,3.6,CA,1722877196
295,morristown,36.214,-83.2949,30.98,65,20,2.06,US,1722877393
296,marrakesh,31.6315,-8.0083,39.64,18,0,4.63,MA,1722877203
297,bakanas,44.8081,76.2772,29.17,24,24,5.27,KZ,1722877395
298,nova sintra,14.8667,-24.7167,27.65,67,16,1.63,CV,1722877396
299,targuist,34.9377,-4.3186,31.69,24,2,1.94,MA,1722877398
300,sarmiento,-45.5882,-69.07,3.53,97,100,4.4,AR,1722877399
301,lehliu-gara,44.4333,26.85,29.23,33,87,1.04,RO,1722877400
302,tazacorte,28.629,-17.9293,25.64,79,20,7.2,ES,1722877401
303,ola,59.5833,151.2833,12.0,88,100,1.15,RU,1722877402
304,dunedin,-45.8742,170.5036,4.89,91,29,2.46,NZ,1722877174
305,east ballina,-28.8667,153.5833,15.49,83,95,4.47,AU,1722877405
306,tanjung pandan,-2.75,107.65,24.72,85,83,3.33,ID,1722877406
307,ciudad melchor muzquiz,27.8833,-101.5167,30.34,48,8,2.49,MX,1722877409
308,murzuq,25.9155,13.9184,39.36,9,0,4.54,LY,1722877410
309,torghay,49.6339,63.4981,27.71,29,33,3.51,KZ,1722877411
310,ronne,55.1009,14.7066,18.95,72,75,4.63,DK,1722877393
311,ploneour-lanvern,47.9,-4.2833,21.18,78,100,4.63,FR,1722877413
312,nyala,12.05,24.8833,26.02,67,50,6.63,SD,1722877414
313,whitburn,54.9533,-1.3686,24.53,55,86,4.56,GB,1722877415
314,guangyuan,32.442,105.823,25.27,90,84,0.92,CN,1722877418
315,harar,9.3094,42.1258,17.52,87,100,1.81,ET,1722877419
316,bodaybo,57.8506,114.1933,14.42,94,73,0.43,RU,1722877420
317,bembereke,10.2283,2.6634,25.04,85,82,2.21,BJ,1722877421
318,akjoujt,19.6969,-14.4164,35.66,34,100,4.76,MR,1722877335
319,namsos,64.4662,11.4957,24.95,47,0,4.12,NO,1722877392
320,potsdam,52.3989,13.0657,23.9,50,100,1.75,DE,1722877272
321,puerto baquerizo moreno,-0.9,-89.6,22.55,88,100,2.57,EC,1722877425
322,taksimo,56.3444,114.8794,16.1,76,94,1.66,RU,1722877427
323,shendi,16.6915,33.4341,31.98,47,78,8.56,SD,1722877428
324,antsiranana,-12.2787,49.2917,22.59,79,61,6.09,MG,1722877359
325,funafuti,-8.5243,179.1942,26.0,94,75,2.57,TV,1722877430
326,peniche,39.3558,-9.3811,25.11,78,7,7.25,PT,1722877230
327,ulladulla,-35.35,150.4667,3.76,77,47,3.43,AU,1722877432
328,yorkton,51.2167,-102.4677,17.91,72,40,1.54,CA,1722877211
329,makakilo city,21.3469,-158.0858,25.01,79,100,3.45,US,1722877231
330,ust'-barguzin,53.45,108.9833,11.94,86,0,1.03,RU,1722877435
331,ar rass,25.8694,43.4973,35.35,13,7,5.12,SA,1722877437
332,wanning,18.8003,110.3967,26.68,89,31,2.77,CN,1722877438
333,kristiansund,63.1115,7.732,20.03,87,0,2.06,NO,1722877439
334,canico,32.6333,-16.85,27.62,65,40,6.17,PT,1722877441
335,malpica,43.3228,-8.8105,25.09,65,26,3.05,ES,1722877442
336,dickinson,29.4608,-95.0513,35.07,62,20,3.09,US,1722877443
337,thinadhoo,0.5333,72.9333,28.6,74,100,5.72,MV,1722877444
338,ben gardane,33.1378,11.2197,28.39,59,0,4.94,TN,1722877446
339,port-gentil,-0.7193,8.7815,25.98,69,40,6.17,GA,1722877274
340,vernon,50.2581,-119.2691,27.74,51,0,1.03,CA,1722877431
341,rio grande,-32.035,-52.0986,18.06,92,92,5.51,BR,1722877211
342,san patricio,28.017,-97.5169,32.87,49,0,1.77,US,1722877160
343,usinsk,65.9939,57.5281,13.73,59,100,6.92,RU,1722877451
344,nizhneangarsk,55.7833,109.55,11.74,82,30,1.56,RU,1722877452
